Circular 1,Circular 2 (Museu),Circular 2 (FEC),Cricular Noturno
06:30,06:35,06:45,18:00
07:00,07:25,07:00,18:30
07:20,07:40,07:15,19:00
07:35,08:05,07:50,19:30
07:55,08:35,08:20,20:00
08:15,08:45,09:00,20:30
08:35,09:15,09:45,21:00
08:55,09:30,10:20,21:30
09:15,10:00,10:55,22:00
09:35,10:10,11:50,22:30
09:55,10:45,12:25,23:00
10:15,11:00,13:10,
10:35,11:25,13:50,
10:55,11:45,14:35,
11:15,12:10,15:05,
11:35,12:40,15:40,
11:55,12:55,16:40,
12:15,13:25,17:20,
12:35,13:45,,
12:55,14:05,,
13:15,14:25,,
13:30,14:45,,
13:55,15:10,,
14:15,15:30,,
14:25,16:00,,
14:55,16:25,,
15:15,16:50,,
15:35,17:10,,
15:55,17:40,,
16:05,,,
16:25,,,
16:50,,,
17:15,,,
17:35,,,
17:55,,,
18:10,,,
18:25,,,
18:40,,,
18:50,,,
19:20,,,
